masses,Portal_Coupling,sigma_SI_n,sigma_halo_cm3,BR
501.1494896938163,0.1588972640071683,8.858652965721997e-46,0.0,1.0
503.1500900540324,0.1595724561425639,8.863324460876695e-46,0.0,1.0
505.1506904142486,0.1602472095362304,8.867911680478751e-46,0.0,1.0
507.1512907744647,0.1609219168259505,8.87245886473087e-46,0.0,1.0
509.15189113468085,0.1615963816747459,8.876944896385579e-46,0.0,1.0
511.15249149489694,0.1622707204669842,8.88138319862494e-46,0.0,1.0
513.1530918551131,0.1629449314260046,8.88577411164212e-46,0.0,1.0
515.1536922153292,0.1636185558208498,8.890068314079777e-46,0.0,1.0
517.1542925755454,0.1642931445507816,8.894434791341917e-46,0.0,1.0
519.1548929357615,0.1649668729439358,8.898675918903485e-46,0.0,1.0
521.1554932959776,0.1656406396291848,8.902889659144841e-46,0.0,1.0
523.1560936561938,0.1663137616662183,8.907003166728336e-46,0.0,1.0
525.1566940164099,0.1669876829392394,8.911171629542105e-46,0.0,1.0
527.1572943766259,0.1676605035651357,8.915192421367404e-46,0.0,1.0
529.1578947368421,0.1683342071104112,8.91927732438425e-46,0.0,1.0
531.1584950970582,0.1690072497822984,8.923262649525576e-46,0.0,1.0
533.1590954572744,0.1696801281801142,8.927201713221282e-46,0.0,1.0
535.1596958174905,0.1703529557016964,8.931106902481197e-46,0.0,1.0
537.1602961777066,0.1710251107119102,8.934913629477545e-46,0.0,1.0
539.1608965379228,0.1716981335394439,8.938783316104765e-46,0.0,1.0
541.1614968981389,0.1723705564367229,8.942563020731021e-46,0.0,1.0
543.1620972583551,0.1730427366520917,8.946290627140255e-46,0.0,1.0
545.1626976185712,0.1737143631963016,8.94993463876824e-46,0.0,1.0
547.1632979787873,0.17438628328479,8.953582925756342e-46,0.0,1.0
549.1638983390034,0.1750582662824928,8.957211849867534e-46,0.0,1.0
551.1644986992195,0.1757299422979913,8.960783894607883e-46,0.0,1.0
553.1650990594356,0.1764014634777678,8.964315113158791e-46,0.0,1.0
555.1656994196518,0.1770728931708631,8.96781234595666e-46,0.0,1.0
557.1662997798679,0.177744284260611,8.971281284099909e-46,0.0,1.0
559.1669001400841,0.1784153834808588,8.974696741601329e-46,0.0,1.0
561.1675005003002,0.1790863680584172,8.978077035542028e-46,0.0,1.0
563.1681008605163,0.1797573431274599,8.981433032690015e-46,0.0,1.0
565.1687012207325,0.18042814658409,8.98474883893098e-46,0.0,1.0
567.1693015809486,0.1810988464259102,8.988031612481084e-46,0.0,1.0
569.1699019411648,0.1817693063699841,8.991268206612272e-46,0.0,1.0
571.1705023013808,0.1824396797882167,8.994474209688425e-46,0.0,1.0
573.1711026615969,0.1831099000720934,8.997643384978721e-46,0.0,1.0
575.1717030218131,0.1837800116693827,9.000780456139965e-46,0.0,1.0
577.1723033820292,0.1844501153790794,9.003895586207684e-46,0.0,1.0
579.1729037422454,0.1851198632703196,9.006955139218778e-46,0.0,1.0
581.1735041024615,0.1857896330877119,9.0099963031836e-46,0.0,1.0
583.1741044626776,0.1864591858358517,9.012996157888832e-46,0.0,1.0
585.1747048228938,0.1871286937369843,9.015971706317803e-46,0.0,1.0
587.1753051831099,0.1877981505524859,9.018922590161366e-46,0.0,1.0
589.175905543326,0.1884672490154538,9.021819635554584e-46,0.0,1.0
591.1765059035422,0.1891363238088736,9.024695305992897e-46,0.0,1.0
593.1771062637582,0.1898053079468731,9.027543439720319e-46,0.0,1.0
595.1777066239744,0.19047418227811,9.030362489462042e-46,0.0,1.0
597.1783069841905,0.1911430541163316,9.033162880787882e-46,0.0,1.0
599.1789073444066,0.1918114811001197,9.035903118057736e-46,0.0,1.0
601.1795077046228,0.1924798323943322,9.038618448758752e-46,0.0,1.0
603.1801080648389,0.1931481611098892,9.041314085357105e-46,0.0,1.0
605.1807084250551,0.1938165405355506,9.043997057638653e-46,0.0,1.0
607.1813087852712,0.1944844549270639,9.046619508083668e-46,0.0,1.0
609.1819091454873,0.1951525999583276,9.049246526385323e-46,0.0,1.0
611.1825095057035,0.1958204920220773,9.05183336360077e-46,0.0,1.0
613.1831098659196,0.1964880455755838,9.054372515015036e-46,0.0,1.0
615.1837102261358,0.1971555947821343,9.056895130025067e-46,0.0,1.0
617.1843105863518,0.1978232605717302,9.059412441709562e-46,0.0,1.0
619.1849109465679,0.1984906554877116,9.061889124532756e-46,0.0,1.0
621.1855113067841,0.1991577386720112,9.064321837908499e-46,0.0,1.0
623.1861116670002,0.1998248356789047,9.066740533145762e-46,0.0,1.0
625.1867120272163,0.2004917605098496,9.069128514944179e-46,0.0,1.0
627.1873123874325,0.2011591669228885,9.071545031748029e-46,0.0,1.0
629.1879127476486,0.2018251799838634,9.073821235579566e-46,0.0,1.0
